"url","Breed","Family","Original Function","Average Size Male","Average Size Female","Energy","Exercise","Playfulness","Affection","Friendliness to Dogs","Friendliness to Other Pets","Friendliness to Strangers","Ease of Traning","Watchdog Ability","Protection Ability","Grooming","Life Span"
"https://www.petfinder.com/dog-breeds/Afghan-Hound","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Akita","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Affenpinscher","Adopt an Affenpinscher","terrier, pinscher","small vermin hunting, lapdog","Ht: 9-11.5, Wt: 7-9","Ht: 9-11.5, Wt: 7-9","•••••","••••","•••••","•••••","••••","•","••••","•••","••••••","••","•••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Airedale-Terrier","Adopt an Airedale Terrier","terrier","badger and otter hunting","Ht: 23, Wt: 45","Ht: <23, Wt: 45","•••••","••••","•••••","••••","••","•","••••","••••","•••••","•••••","•••••",
"https://www.petfinder.com/dog-breeds/Alaskan-Malamute","Adopt an Alaskan Malamute","spitz, Northern (draft)","heavy sled pulling, large game hunting","Ht: 25, Wt: 85","Ht: 23, Wt: 75","••••","•••••","••••","••••••","••","•","•••••","••","••••","••••","••••",
"https://www.petfinder.com/dog-breeds/American-Cocker-Spaniel","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Australian-Shepherd","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/American-Eskimo-Dog-(Standard)","Adopt an American Eskimo Dog (Standard)","spitz, Northern (companion)","companion, performer","Ht: 15-19, Wt: 20-40","Ht: 15-19, Wt: 20-40","••••","••••","•••••","••••","••••","•","••••","•••••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/American-Eskimo-Dog-(Miniature)","Adopt an American Eskimo Dog (Miniature)","Spitz, Northern (companion)","companion, performer","Ht: 12-15, Wt: 11-20","Ht: 12-15, Wt: 11-20","••••","••••","•••••","••••","••••","•","••••","•••••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/American-Eskimo-Dog-(Toy)","Adopt an American Eskimo Dog (Toy)","Spitz, Northern (companion)","companion, performer","Ht: 9-12, Wt: 6-10","Ht: 9-12, Wt: 6-10","••••","••••","•••••","••••","••••","•","••••","•••••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Anatolian-Shepherd","Adopt an Anatolian Shepherd","livestock dog, mastiff, flock guard","flock guard","Ht: 29, Wt: 110-150","Ht: 27, Wt: 80-120","••","••••","••••","••••","••","•","••","••••","••••••","••••••","•••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/American-Water-Spaniel","Adopt an American Water Spaniel","Gundog, Water Dog, Spaniel","bird flushing and retrieving","Ht: 15-18, Wt: 30-45","Ht: 15-18, Wt: 25-40","•••••","••••","•••••","••••","•••","•","•••","••••","•••••","••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/American-Foxhound","Adopt an American Foxhound","scenthound","trailing fox","Ht: 22-25, Wt: 21-24","Ht: 22-25, Wt: 21-24","•••••","•••••","••••","••••","••••••","•","•••••","•••","•••••","••","••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/Australian-Cattle-Dog","Adopt an Australian Cattle Dog","livestock, herding","cattle herding","Ht: 18-20, Wt: 35-45","Ht: 17-19, Wt: 35-45","••••••","••••••","•••••","••••","••••","•","•••","••••••","••••••","•••••","•••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/Australian-Terrier","Adopt an Australian Terrier","terrier","killing small vermin","Ht: 10-11, Wt: 12-14","Ht: 10-11, Wt: 12-14","••••","••••","••••","••••","••••","•","•••","•••","••••••","••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Basenji","Adopt a Basenji","sighthound, scenthound, primitive, Southern (pariah)","hunting small game","Ht: 17, Wt: 24","Ht: 16, Wt: 22","•••••","••••","••••","••••","••","•","••••","••","••••••","••","••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/American-Staffordshire-Terrier","Adopt an American Staffordshire Terrier","terrier, mastiff (bull)","guardian, bullbaiting","Ht: 18-19, Wt: 57-67","Ht: 17-18, Wt: 57-67","••••","••••","••••","••••","••","•","••••","••","••••••","••••••","••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Basset-Hound","Adopt a Basset Hound","scenthound","trailing rabbits and hare","Ht: <14, Wt: 40-60","Ht: <14, Wt: 40-60","••","••","••","••••","••••","•","••••","•••","•••••","••","•••","Occasionally seen: patellar luxation"
"https://www.petfinder.com/dog-breeds/Bichon-Frise","Adopt a Bichon Frise","Bichon, companion, water dog","companion, performer","Ht: 9.5-11.5, Wt: 7-12","Ht: 9.5-11.5, Wt: 7-12","•••••","•••","••••••","••••••","•••••","•","••••••","•••••","•••••","••","••••••",
"https://www.petfinder.com/dog-breeds/Bearded-Collie","Adopt a Bearded Collie","livestock, herding","sheep herding","Ht: 21-22, Wt: 45-55","Ht: 20-21, Wt: 45-55","•••••","•••••","•••••","•••••","••••","•","••••","••••","•••••","•••","•••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Belgian-Malinois","Adopt a Belgian Malinois","livestock, herding","stock herding","Ht: 24-26, Wt: 60-65","Ht: 22-24, Wt: 60-65","•••••","••••••","•••••","••","••••","•","••","••••••","••••••","••••••","••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Bedlington-Terrier","Adopt a Bedlington Terrier","terrier","killing rat, badger, and other vermin","Ht: 16.5, Wt: 17-23","Ht: 15.5, Wt: 17-23","••••","••••","••••","••••","••••","•","•••••","•••","••••••","••","••••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Belgian-Sheepdog","Adopt a Belgian Sheepdog","livestock, herding","stock herding","Ht: 24-26, Wt: 60-65","Ht: 22-24, Wt: 60-65","•••••","••••••","•••••","••","••••","•","••","••••••","••••••","••••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Bernese-Mountain-Dog","Adopt a Bernese Mountain Dog","livestock dog, mountain dog, mastiff (draft/cattle)","draft","Ht: 25-27.5, Wt: 90-120","Ht: 23-26, Wt: 70-100","••","•••","•••","••••","••••","•","••••","•••••","••••","•••","••••",
"https://www.petfinder.com/dog-breeds/Belgian-Tervuren","Adopt a Belgian Tervuren","livestock, herding","stock herding","Ht: 24-26, Wt: 60-65","Ht: 22-24, Wt: 60-65","•••••","••••••","•••••","••","••••","•","••","••••••","••••••","••••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Beagle","Adopt a Beagle","Scenthound","trailing rabbits","Ht: 13-15, Wt: 18-30","Ht: 13-15, Wt: 18-30","••••","••••","••••","••••••","••••••","•","••••••","••","•••••","••","••",
"https://www.petfinder.com/dog-breeds/Briard","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Border-Collie","Adopt a Border Collie","livestock, herding","sheep herding","Ht: 20-23, Wt: 30-45","Ht: 18-21, Wt: 30-45","••••••","••••••","•••••","••••","••••","•","•••","••••••","•••••","••••","••••",
"https://www.petfinder.com/dog-breeds/Bloodhound","Adopt a Bloodhound","Scenthound","trailing","Ht: 25-27, Wt: 90-110","Ht: 23-25, Wt: 80-100","••••","••••","••","••••••","••••","•","••••","••","•••••","••","••",
"https://www.petfinder.com/dog-breeds/Black-and-Tan-Coonhound","Adopt a Black and Tan Coonhound","Scenthound","hunting raccoons","Ht: 25-27, Wt: 55-75","Ht: 23-25, Wt: 55-75","•••","•••••","••••","••••","••••","•","•••","••","•••••","••••","••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Borzoi","Adopt a Borzoi","Sighthound, Southern (Sighthound)","coursing wolves","Ht: >28, Wt: 75-105","Ht: >26, Wt: 60-85","••••","••••","••••","••••","••••","•","•••","••••","•••","••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Border-Terrier","Adopt a Border Terrier","terrier","fox bolting, ratting","Ht: 10-11, Wt: 13-15.5","Ht: 10-11, Wt: 11.5-14","••••","••••","••••","••••","••••","•","••••","•••••","•••••","••","••••","Life span: 12-15 years"
"https://www.petfinder.com/dog-breeds/Bouvier-des-Flandres","Adopt a Bouvier des Flandres","livestock, herding","cattle herding","Ht: 24.5-27.5, Wt: 69-90","Ht: 23.5-26.5, Wt: 69-90","••••","•••••","•••","••••","••••","•","••••","••••","••••••","••••••","•••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Boston-Terrier","Adopt a Boston Terrier","Terrier, companion, Mastiff (Bulldog)","ratting, companion","Ht: 15-17, Wt: 10-25","Ht: 15-17, Wt: 10-25","••••","••","••••","••••","••••","•","••••","••••","••••••","••","••","Suggested tests: none"
"https://www.petfinder.com/dog-breeds/Boxer","Adopt a Boxer","livestock dog, mastiff (bulldog)","bullbaiting, guardian","Ht: 22.5-25, Wt: 65-80","Ht: 21-23.5, Wt: 50-65","•••••","••••","•••••","••••••","••••","•","••••","••••","••••","••••","••",
"https://www.petfinder.com/dog-breeds/Brittany","Adopt a Brittany","gundog, setter, pointer, versatile hunting dog","pointing and retrieving","Ht: 17.5-20.5, Wt: 30-40","Ht: 17.5-20.5, Wt: 30-40","•••••","••••••","•••••","••••••","••••","•","••••••","•••••","•••••","••","••",
"https://www.petfinder.com/dog-breeds/Brussels-Griffon","Adopt a Brussels Griffon","terrier, companion","small vermin hunting, companion","Ht: 7-8, Wt: 8-10","Ht: 7-8, Wt: 8-10","•••••","•••","•••••","•••••","••••","•","••••","••••","••••••","••","••","Life span: 12-15 years"
"https://www.petfinder.com/dog-breeds/Bull-Terrier","Adopt a Bull Terrier","terrier, mastiff (bull)","dog fighting","Ht: 21-22, Wt: 55-65","Ht: 21-22, Wt: 45-55","•••••","••••","••••••","••••","••","•","••••","••","••••••","•••••","••","Life span: 11-14 years"
"https://www.petfinder.com/dog-breeds/Chinese-Crested-Dog","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Bulldog","Adopt a Bulldog","livestock dog, Mountain Dog, Mastiff (Bulldog)","bull baiting","Ht: 12-15, Wt: 50","Ht: 12-15, Wt: 40","••","••","•••••","••••••","••","•","•••••","•••","••","•••","•••","Occasionally seen: urethral prolapse, vaginal hyperplasia"
"https://www.petfinder.com/dog-breeds/Canaan-Dog","Adopt a Canaan Dog","livestock, herding, primitive, Southern (pariah)","sentry, messenger, and assistance","Ht: 20-24, Wt: 45-55","Ht: 19-23, Wt: 35-45","••••","•••••","••••","••••","••••","•","•••","•••••","••••••","••••","••","Life span: 12-13 years"
"https://www.petfinder.com/dog-breeds/Bullmastiff","Adopt a Bullmastiff","livestock dog, mastiff (bulldog)","estate guardian","Ht: 25-27, Wt: 110-130","Ht: 24-26, Wt: 100-120","••","•••","••","••••","•••","•","••","••","••••••","••••••","••","Life span: 8-10 years"
"https://www.petfinder.com/dog-breeds/Cardigan-Welsh-Corgi","Adopt a Cardigan Welsh Corgi","livestock, herding","cattle driving","Ht: 10.5-12.5, Wt: 30-38","Ht: 10.5-12.5, Wt: 25-34","••••","•••","••••","••••","••","•","••••","•••••","••••••","•••••","••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Cavalier-King-Charles-Spaniel","Adopt a Cavalier King Charles Spaniel","spaniel, companion","flushing small birds, lapdog","Ht: 12-13, Wt: 13-18","Ht: 12-13, Wt: 13-18","••••","••••","•••••","••••••","••","•","••••••","•••••","••••","••","••••",
"https://www.petfinder.com/dog-breeds/Cairn-Terrier","Adopt a Cairn Terrier","terrier","killing vermin","Ht: 10, Wt: 14","Ht: 9.5, Wt: 13","•••••","••••","••••","••••","••••","•","••","••","••••••","••","••••",
"https://www.petfinder.com/dog-breeds/Chihuahua","Adopt a Chihuahua","companion, Southern (pariah)","ceremonial","Ht: 6-9, Wt: <6","Ht: 6-9, Wt: <6","••••••","••","•••","•••","••","•","••","•••","••••••","••","••","Suggested tests: cardiac, knee"
"https://www.petfinder.com/dog-breeds/Chinese-Shar-Pei","Adopt a Chinese Shar-Pei","Livestock Dog, Mountain Dog, Northern (companion)","dog fighting, herding, hunting, guardian","Ht: 18-20, Wt: 45-60","Ht: 18-20, Wt: 45-60","••••","••••","••","••","••","•","••","••","••••••","•••••","•••","Life span: 8-10 year\ns"
"https://www.petfinder.com/dog-breeds/Clumber-Spaniel","Adopt a Clumber Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 19-20, Wt: 70-85","Ht: 17-19, Wt: 55-70","•••","•••","••••","•••••","••••","•","••••","••••","•••","••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Chesapeake-Bay-Retriever","Adopt a Chesapeake Bay Retriever","gundog, retriever","water retriever","Ht: 23-26, Wt: 65-80","Ht: 21-24, Wt: 55-70","••••","••••","••••","•••••","••••","•","•••","••••","•••••","••••","•••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/Curly-Coated-Retriever","Adopt a Curly-Coated Retriever","gundog, retriever","water retrieving","Ht: 25-27, Wt: 60-70","Ht: 23-25, Wt: 60-70","••••","••••","••••","••••","••••","•","•••","••••","•••••","•••","••","Life span: 8-12 years"
"https://www.petfinder.com/dog-breeds/Chow-Chow","Adopt a Chow Chow","Spitz, Northern (companion)","guardian, cart puller, food source","Ht: 17-20, Wt: 45-70","Ht: 17-20, Wt: 45-70","••","•••","••","•••","••","•","••","••","••••••","•••••","•••",
"https://www.petfinder.com/dog-breeds/Dachshund-(Standard)","Adopt a Dachshund (Standard)","Scenthound,Terrier, Dachshund","flushing badgers","Ht: 8-9, Wt: 11-32","Ht: 8-9, Wt: 11-32","•••••","•••","••••","••••","••••","•","••","•••","••••••","•••","••",
"https://www.petfinder.com/dog-breeds/Collie","Adopt a Collie","livestock, herding","sheep herding","Ht: 24-26, Wt: 60-75","Ht: 22-24, Wt: 50-65","••••","••••","••••","••••","••••","•","••••","••••","••••••","••••","••",
"https://www.petfinder.com/dog-breeds/Dachsund-(Miniature)","Adopt a Dachsund (Miniature)","Scenthound, Terrier, Dachshund","flushing badgers","Ht: 5-6, Wt: 1-11","Ht: 5-6, Wt: 1-11","•••••","•••","••••","••••","••••","•","••","•••","••••••","•••","••","Suggested tests: (eye)"
"https://www.petfinder.com/dog-breeds/Field-Spaniel","Unsupported content type application/javascript",,,,,,,,,,,,,,,,
"https://www.petfinder.com/dog-breeds/Dalmatian","Adopt a Dalmatian","Scenthound, Pointer","carriage dog","Ht: 19-23, Wt: 40-60","Ht: 19-23, Wt: 40-60","•••••","••••","••••","••••••","••••","•","••••","••••","•••••","••••","•••",
"https://www.petfinder.com/dog-breeds/Dandie-Dinmont-Terrier","Adopt a Dandie Dinmont Terrier","terrier","otter and badger hunting","Ht: 8-11, Wt: 18-24","Ht: 8-11, Wt: 18-24","••••","••••","••••","••••","••••","•","••","•••","•••••","••","••••","Life span: 11-13 years"
"https://www.petfinder.com/dog-breeds/English-Setter","Adopt an English Setter","gundog, setter, pointer","bird setting and retrieving","Ht: 25, Wt: 60-65","Ht: 24, Wt: 50-55","•••••","•••••","••••","•••••","••••","•","••••••","••••","•••••","•••","••••","Life span: 10-14 years"
"https://www.petfinder.com/dog-breeds/English-Cocker-Spaniel","Adopt an English Cocker Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 16-17, Wt: 28-34","Ht: 15-16, Wt: 26-32","••••","••••","•••••","••••••","••••••","•","•••••","•••••","•••••","•••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/English-Springer-Spaniel","Adopt an English Springer Spaniel","gundog, spaniel","bird flushing and retrieving","Ht: 19-21, Wt: 50","Ht: 18-20, Wt: 40","•••••","•••••","•••••","••••••","••••","•","•••••","••••••","•••••","•••","•••••",
"https://www.petfinder.com/dog-breeds/Doberman-Pinscher","Adopt a Doberman Pinscher","mastiff","guardian","Ht: 26-28, Wt: 65-90","Ht: 24-26, Wt: 65-90","•••••","••••","••••","••••","••","•","••","••••••","••••••","••••••","••",
"https://www.petfinder.com/dog-breeds/English-Foxhound-","Adopt an English Foxhound","Scenthound","trailing fox","Ht: 23-27, Wt: 55-75","Ht: 23-27, Wt: 55-75","•••••","•••••","••••","••••","••••••","•","•••••","•••","•••••","••","••","Life span: 10-13 years"
"https://www.petfinder.com/dog-breeds/English-Toy-Spaniel","Adopt an English Toy Spaniel","spaniel, companion","flushing small birds, lapdog","Ht: 10-11, Wt: 8-14","Ht: 10-11, Wt: 8-14","••","••","••••","•••","•••••","•","•••","••••","•••••","••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/Flat-Coated-Retriever","Adopt a Flat-Coated Retriever","gundog, retriever, water dog","water retrieving","Ht: 23-24.5, Wt: 60-70","Ht: 22-23.5, Wt: 60-70","••••","••••","•••••","••••••","••••","•","•••••","••••••","•••••","•••","•••","Life span: 10-14 years"
"https://www.petfinder.com/dog-breeds/French-Bulldog","Adopt a French Bulldog","companion, Mastiff (Bulldog)","lap dog","Ht: 11-13, Wt: <28","Ht: 11-13, Wt: <28","••••","••","••••","••••","••••","•","••","•••","••••","••","••",
"https://www.petfinder.com/dog-breeds/Finnish-Spitz","Adopt a Finnish Spitz","Spitz, Northern (hunting)","hunting birds and small mammals","Ht: 17.5-20, Wt: 31-36","Ht: 15.5-18, Wt: 23-29","••••","••••","••••","••••","••••","•","••","••••","•••••","••••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Giant-Schnauzer","Adopt a Giant Schnauzer","livestock dog, herding","cattle herding, guardian","Ht: 25.5-27.5, Wt: 65-90","Ht: 23.5-25.5, Wt: 65-90","••••","•••••","•••••","••","••","•","••","••••","••••••","••••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Shepherd-Dog","Adopt a German Shepherd Dog","livestock, herding","sheep herding, guarding, police dog","Ht: 24-26, Wt: 75-95","Ht: 22-24, Wt: 75-95","••••","•••••","•••","••••","••","•","•••","••••••","••••••","••••••","•••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Wirehaired-Pointer","Adopt a German Wirehaired Pointer","gundog, pointer, versatile hunting dog","general hunting, watchdog","Ht: 24-26, Wt: 45-75","Ht: >22, Wt: 45-75","••••••","••••••","•••••","••••","•••","•","•••","••••","••••••","•••••","••••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Great-Dane","Adopt a Great Dane","livestock dog, mastiff","guardian, hunting large game","Ht: 30-32, Wt: 100-120","Ht: 28-30, Wt: 100-120","•••","••••","•••","•••••","••••","•","•••••","•••••","•••••","••••","••",
"https://www.petfinder.com/dog-breeds/Gordon-Setter","Adopt a Gordon Setter","gundog, setter, pointer","bird setting and retrieving","Ht: 24-27, Wt: 55-80","Ht: 23-26, Wt: 45-70","•••••","•••••","••••","•••••","•••","•","•••","••••","•••••","••••","••••","Life span: 10-12 years"
"https://www.petfinder.com/dog-breeds/German-Shorthaired-Pointer","Adopt a German Shorthaired Pointer","gundog, pointer, versatile hunting dog","general hunting","Ht: 23-25, Wt: 55-70","Ht: 21-23, Wt: 45-60","•••••","••••••","•••••","•••••","••••","•","••••","••••","••••••","••••","••","Life span: 12-14 years"
"https://www.petfinder.com/dog-breeds/Golden-Retriever","Adopt a Golden Retriever","gundog, retriever","retrieving","Ht: 23-24, Wt: 65-75","Ht: 21.5-22.5, Wt: 55-65","••••","••••","••••••","••••••","••••••","•","••••••","••••••","••••","•••","••••",
"https://www.petfinder.com/dog-breeds/Great-Pyrenees","Adopt a Great Pyrenees","livestock Dog, flockguard","sheep guardian","Ht: 27-32, Wt: 100","Ht: 25-29, Wt: 85","••","••••","•••","••••","•••","•","•••","••","••••••","•••••","••••","Life span: 10-12 years"
